,proportion,type,ROI,net,layer,sum
153,-2.1045404307700557,semantic,IT,alexnettrained,ReLu7,0.01609477456727348
154,0.18062673961265122,perceptual,IT,alexnettrained,ReLu7,0.0219554398592776
155,0.5443912018756644,semantic,IT,alexnettrained,ReLu7,0.06617153317572173
156,0.04917751697727966,perceptual,IT,alexnettrained,ReLu7,0.013458001873476655
157,0.28576088150286494,semantic,IT,alexnettrained,ReLu7,0.0782018026735402
158,-0.010701186123989563,perceptual,IT,alexnettrained,ReLu7,-0.0021631722218391136
159,-0.13043856247216742,semantic,IT,alexnettrained,ReLu7,-0.026367271041466994
160,0.06088866168803057,perceptual,IT,alexnettrained,ReLu7,0.006592638448106969
161,0.5332873810739739,semantic,IT,alexnettrained,ReLu7,0.057740978285447844
162,0.20371490749746782,perceptual,IT,alexnettrained,ReLu7,0.03922434108209126
163,0.4805934908137078,semantic,IT,alexnettrained,ReLu7,0.09253600159695767
164,0.1342832879389488,perceptual,IT,alexnettrained,ReLu7,0.00765751333532205
165,0.3596449984735033,semantic,IT,alexnettrained,ReLu7,0.02050877971534935
166,0.18215224004343727,perceptual,IT,alexnettrained,ReLu7,0.03975027714233378
167,0.3395026359904368,semantic,IT,alexnettrained,ReLu7,0.07408815761999159
168,0.06453383922967623,perceptual,IT,alexnettrained,ReLu7,0.02303153869555314
169,0.340620864244688,semantic,IT,alexnettrained,ReLu7,0.12156448010854916
170,0.016906031804796405,perceptual,IT,alexnettrained,ReLu7,0.005386523928666412
171,0.33552644551309063,semantic,IT,alexnettrained,ReLu7,0.10690392922033279
172,0.49409705105804436,perceptual,IT,alexnettrained,ReLu7,0.012069663512205358
173,0.6118835101523493,semantic,IT,alexnettrained,ReLu7,0.014946917939282264
174,0.13243511559622273,perceptual,IT,alexnettrained,ReLu7,0.07139081988518794
175,0.24493095545799065,semantic,IT,alexnettrained,ReLu7,0.13203312162855943
176,0.6562973033967013,perceptual,IT,alexnettrained,ReLu7,0.08247003463873322
177,0.3922168802570568,semantic,IT,alexnettrained,ReLu7,0.04928580314635791
178,0.29639891279665176,perceptual,IT,alexnettrained,ReLu7,0.10509640326319014
179,0.3256306953478235,semantic,IT,alexnettrained,ReLu7,0.1154613373923768
180,0.7517502623170733,perceptual,EVC,dcrandom,ReLu2,3.105021413684757
181,-0.008966627275153675,semantic,EVC,dcrandom,ReLu2,-0.03703566342905903
182,0.09331830793050987,perceptual,EVC,dcrandom,ReLu2,0.23198960395212698
183,-0.011859278517550668,semantic,EVC,dcrandom,ReLu2,-0.029482203304557017
184,0.7058921244053646,perceptual,EVC,dcrandom,ReLu2,1.5727222268805447
185,0.02866423464549155,semantic,EVC,dcrandom,ReLu2,0.06386369444404773
186,0.3279017827276212,perceptual,EVC,dcrandom,ReLu2,1.1224417220098217
187,-0.001802994069109969,semantic,EVC,dcrandom,ReLu2,-0.006171835208917928
188,-0.03636394900048102,perceptual,EVC,dcrandom,ReLu2,-0.09197294478587165
189,0.027589969291777535,semantic,EVC,dcrandom,ReLu2,0.0697814949163795
190,2.31171941790184,perceptual,EVC,dcrandom,ReLu2,1.4996827616088177
191,-0.06001344298591598,semantic,EVC,dcrandom,ReLu2,-0.038932547442309645
192,0.3574805360376364,perceptual,EVC,dcrandom,ReLu2,3.0994235144158155
193,-0.0004310671704696114,semantic,EVC,dcrandom,ReLu2,-0.0037374334817086123
194,0.365737914080863,perceptual,EVC,dcrandom,ReLu2,1.3463222975974698
195,0.003983534040251652,semantic,EVC,dcrandom,ReLu2,0.014663835755468257
196,0.47659955700090656,perceptual,EVC,dcrandom,ReLu2,3.1934648147505333
197,-0.002373135920500046,semantic,EVC,dcrandom,ReLu2,-0.01590124445441543
198,0.5297875148270778,perceptual,EVC,dcrandom,ReLu2,3.542058428421776
199,0.0043742054366998455,semantic,EVC,dcrandom,ReLu2,0.029245104501505994
200,0.19471791256769047,perceptual,EVC,dcrandom,ReLu2,1.3615265715464393
201,0.0012238313804964495,semantic,EVC,dcrandom,ReLu2,0.008557399376695878
202,4.029931273677714,perceptual,EVC,dcrandom,ReLu2,2.026475678479698
203,-0.03564043919619523,semantic,EVC,dcrandom,ReLu2,-0.01792201362667709
204,0.2385261081024782,perceptual,EVC,dcrandom,ReLu2,1.8883987090117287
205,-0.006545606559249556,semantic,EVC,dcrandom,ReLu2,-0.051821224412360846
206,0.5783352770427022,perceptual,EVC,dcrandom,ReLu2,2.8083246626528986
207,0.0094052073032051,semantic,EVC,dcrandom,ReLu2,0.045670524824311914
208,0.5486750261374898,perceptual,EVC,dcrandom,ReLu2,2.521578541894013
209,-0.0038986535238420654,semantic,EVC,dcrandom,ReLu2,-0.017917274524421656
