,corr,p,layer,ROI,state,net
0,0.05037112386340998,0.1685831416858314,ReLu1,EVC,randomstate,dc
1,0.0011529585162123731,0.9699030096990301,ReLu1,EVC,randomstate,dc
2,0.01566751777130459,0.5773422657734226,ReLu1,EVC,randomstate,dc
3,0.10880245410399687,0.00019998000199980003,ReLu1,EVC,randomstate,dc
4,0.033964383754005074,0.08759124087591241,ReLu1,EVC,randomstate,dc
5,0.01637762787832914,0.6226377362263774,ReLu1,EVC,randomstate,dc
6,0.12838779318442714,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
7,0.024680664512361564,0.39446055394460555,ReLu1,EVC,randomstate,dc
8,0.12680956776328445,0.00019998000199980003,ReLu1,EVC,randomstate,dc
9,0.09500142992429107,0.0021997800219978004,ReLu1,EVC,randomstate,dc
10,0.08609331554633097,0.006099390060993901,ReLu1,EVC,randomstate,dc
11,-0.005548106249368521,0.8728127187281272,ReLu1,EVC,randomstate,dc
12,0.06708633945660593,0.04079592040795921,ReLu1,EVC,randomstate,dc
13,0.17153006465769438,9.999000099990002e-05,ReLu1,EVC,randomstate,dc
14,0.12885039224450165,0.00019998000199980003,ReLu1,EVC,randomstate,dc
15,0.10157714084782808,0.0027997200279972004,ReLu1,IT,randomstate,dc
16,0.032832774207248255,0.37416258374162586,ReLu1,IT,randomstate,dc
17,0.05242153825604036,0.0912908709129087,ReLu1,IT,randomstate,dc
18,0.17209335778760743,9.999000099990002e-05,ReLu1,IT,randomstate,dc
19,0.09288685445768194,0.008899110088991101,ReLu1,IT,randomstate,dc
20,0.02141826798208285,0.49745025497450257,ReLu1,IT,randomstate,dc
21,0.08388695092762415,0.0029997000299970002,ReLu1,IT,randomstate,dc
22,0.08399723490887587,0.018098190180981903,ReLu1,IT,randomstate,dc
23,0.13913146227311726,9.999000099990002e-05,ReLu1,IT,randomstate,dc
24,0.0955905244825301,0.00019998000199980003,ReLu1,IT,randomstate,dc
25,0.11207261389589579,0.00019998000199980003,ReLu1,IT,randomstate,dc
26,0.046023240693647424,0.21257874212578742,ReLu1,IT,randomstate,dc
27,0.12381112212809267,9.999000099990002e-05,ReLu1,IT,randomstate,dc
28,0.15783178952884422,9.999000099990002e-05,ReLu1,IT,randomstate,dc
29,0.1336462612759948,9.999000099990002e-05,ReLu1,IT,randomstate,dc
30,0.028672350972491226,0.43255674432556745,ReLu1,EVC,100epochs,dc
31,-0.054200466823187715,0.09409059094090591,ReLu1,EVC,100epochs,dc
32,0.007348497951583505,0.7961203879612039,ReLu1,EVC,100epochs,dc
33,0.08064921416955077,0.0051994800519948,ReLu1,EVC,100epochs,dc
34,-0.0017164799773495424,0.9364063593640636,ReLu1,EVC,100epochs,dc
35,-0.004062126642771805,0.9022097790220978,ReLu1,EVC,100epochs,dc
36,0.07153423170253465,0.008899110088991101,ReLu1,EVC,100epochs,dc
37,-0.01234826676621908,0.6687331266873313,ReLu1,EVC,100epochs,dc
38,0.0764556829072958,0.013898610138986101,ReLu1,EVC,100epochs,dc
39,0.08879904055219624,0.004899510048995101,ReLu1,EVC,100epochs,dc
40,0.020268620268620266,0.539046095390461,ReLu1,EVC,100epochs,dc
41,-0.018333741475396455,0.6021397860213978,ReLu1,EVC,100epochs,dc
42,0.018597007376811022,0.5728427157284272,ReLu1,EVC,100epochs,dc
43,0.1473274115630357,0.00029997000299970003,ReLu1,EVC,100epochs,dc
44,0.07935137949163194,0.0182981701829817,ReLu1,EVC,100epochs,dc
45,0.06495509581063577,0.062193780621937804,ReLu1,IT,100epochs,dc
46,0.01809216704027363,0.6187381261873812,ReLu1,IT,100epochs,dc
47,0.04705027453975561,0.128987101289871,ReLu1,IT,100epochs,dc
48,0.13759798977190282,9.999000099990002e-05,ReLu1,IT,100epochs,dc
49,0.06377416671946826,0.07629237076292371,ReLu1,IT,100epochs,dc
50,-0.034868118739086476,0.2765723427657234,ReLu1,IT,100epochs,dc
51,0.03855498301501106,0.1857814218578142,ReLu1,IT,100epochs,dc
52,0.02640296693592626,0.46565343465653436,ReLu1,IT,100epochs,dc
53,0.07907213040452872,0.016798320167983202,ReLu1,IT,100epochs,dc
54,0.05364425196122251,0.024797520247975203,ReLu1,IT,100epochs,dc
