,proportion,feature,ROI,net,layer,indirect,total,bootstrap_iter
0,-1.267089312165592e-05,semantic_category,IT,dcrandom,ReLu2,-5.0176797466883804e-05,3.9600047909114044,0
1,0.06550659298632389,semantic_animacy,IT,dcrandom,ReLu2,0.259406422062126,3.9600047909114044,0
2,0.03309856053772809,size,IT,dcrandom,ReLu2,0.13107045830167438,3.9600047909114044,0
3,0.0015083719942209578,contrast,IT,dcrandom,ReLu2,0.005973160323591582,3.9600047909114044,0
4,-0.008251411870915604,hue,IT,dcrandom,ReLu2,-0.03267563054060903,3.9600047909114044,0
5,0.017670133727091492,lurid,IT,dcrandom,ReLu2,0.0699738142153275,3.9600047909114044,0
6,0.08779721755394176,thinness,IT,dcrandom,ReLu2,0.34767740214230025,3.9600047909114044,0
7,0.06653210750797371,radiansoffhorizontal,IT,dcrandom,ReLu2,0.2634674644810085,3.9600047909114044,0
8,0.17715500076885127,silhouette,IT,dcrandom,ReLu2,0.7015346517785646,3.9600047909114044,0
9,-1.5376456416674765e-05,semantic_category,IT,dcrandom,ReLu2,-5.861827334037804e-05,3.8122095073095217,1
10,0.08168917899423149,semantic_animacy,IT,dcrandom,ReLu2,0.31141626480611856,3.8122095073095217,1
11,0.039548043768061175,size,IT,dcrandom,ReLu2,0.1507654284480959,3.8122095073095217,1
12,0.004826285041175284,contrast,IT,dcrandom,ReLu2,0.018398809718954145,3.8122095073095217,1
13,-0.01858004979945358,hue,IT,dcrandom,ReLu2,-0.07083104249176131,3.8122095073095217,1
14,0.025082872405426743,lurid,IT,dcrandom,ReLu2,0.09562116465459948,3.8122095073095217,1
15,0.12146682407802589,thinness,IT,dcrandom,ReLu2,0.46305698157294345,3.8122095073095217,1
16,0.0656566398834296,radiansoffhorizontal,IT,dcrandom,ReLu2,0.25029686678160784,3.8122095073095217,1
17,0.1861849815693635,silhouette,IT,dcrandom,ReLu2,0.7097761568569756,3.8122095073095217,1
18,-9.014223273896437e-06,semantic_category,IT,dcrandom,ReLu2,-2.7525412123138375e-05,3.0535533996419857,2
19,0.05777337906212119,semantic_animacy,IT,dcrandom,ReLu2,0.17641409804394528,3.0535533996419857,2
20,0.0110879765690471,size,IT,dcrandom,ReLu2,0.033857728547564456,3.0535533996419857,2
21,0.009845215959062207,contrast,IT,dcrandom,ReLu2,0.030062892662003935,3.0535533996419857,2
22,-0.026260535041614644,hue,IT,dcrandom,ReLu2,-0.08018794605273989,3.0535533996419857,2
23,0.027875829669533107,lurid,IT,dcrandom,ReLu2,0.08512033445524375,3.0535533996419857,2
24,0.028062247804791274,thinness,IT,dcrandom,ReLu2,0.08568957218591625,3.0535533996419857,2
25,0.04037818292491861,radiansoffhorizontal,IT,dcrandom,ReLu2,0.1232969377417512,3.0535533996419857,2
26,0.11864040414790086,silhouette,IT,dcrandom,ReLu2,0.3622748094207218,3.0535533996419857,2
27,-1.544670747669389e-05,semantic_category,IT,dcrandom,ReLu2,-4.7604967163845356e-05,3.081884423309763,3
28,0.07927512348837633,semantic_animacy,IT,dcrandom,ReLu2,0.2443167682347849,3.081884423309763,3
29,0.04198963667314975,size,IT,dcrandom,ReLu2,0.12940720720341659,3.081884423309763,3
30,-0.003709441949729551,contrast,IT,dcrandom,ReLu2,-0.0114320713640433,3.081884423309763,3
31,-0.010974086649745352,hue,IT,dcrandom,ReLu2,-0.03382086670590182,3.081884423309763,3
32,0.02999910692265094,lurid,IT,dcrandom,ReLu2,0.092453780338122,3.081884423309763,3
33,0.08701148100362474,thinness,IT,dcrandom,ReLu2,0.2681593279541844,3.081884423309763,3
34,0.07304088677341905,radiansoffhorizontal,IT,dcrandom,ReLu2,0.22510357121173227,3.081884423309763,3
35,0.20951937121627487,silhouette,IT,dcrandom,ReLu2,0.6457144865330934,3.081884423309763,3
36,-1.411612209094969e-05,semantic_category,IT,dcrandom,ReLu2,-5.059486923149777e-05,3.584190396308332,4
