Bootstrap CI and significance summary for mediation separate models
Bonferroni-corrected alpha: 0.00092593
Approximate CI level: 99.9074%
Percentile bounds: [0.0463, 99.9537]

ROI              feature            net layer    alpha   ci_lower   ci_upper  significant
 IT     semantic_animacy       dcrandom ReLu7 0.000926   0.010084   0.024672         True
 IT     semantic_animacy      dctrained ReLu2 0.000926   0.107055   0.926501         True
 IT     semantic_animacy      dctrained ReLu7 0.000926   0.146247   0.241963         True
 IT    semantic_category alexnettrained ReLu2 0.000926   0.068477   0.175621         True
 IT    semantic_category alexnettrained ReLu7 0.000926   0.053011   0.243132         True
 IT    semantic_category       dcrandom ReLu2 0.000926  -0.000020  -0.000008         True
 IT    semantic_category       dcrandom ReLu7 0.000926   0.009751   0.029084         True
 IT    semantic_category      dctrained ReLu2 0.000926   0.039828   0.451201         True
 IT    semantic_category      dctrained ReLu7 0.000926   0.061104   0.177212         True
 IT           silhouette alexnettrained ReLu2 0.000926   0.122715   0.583532         True
 IT           silhouette alexnettrained ReLu7 0.000926   0.063542   0.329485         True
 IT           silhouette       dcrandom ReLu2 0.000926   0.019195   0.269721         True
 IT           silhouette       dcrandom ReLu7 0.000926   0.101196   0.364699         True
 IT           silhouette      dctrained ReLu2 0.000926   0.235075   2.283732         True
 IT           silhouette      dctrained ReLu7 0.000926  -0.009122   0.330911        False
 IT                 size alexnettrained ReLu2 0.000926  -0.097777   0.247544        False
 IT                 size alexnettrained ReLu7 0.000926  -0.005263   0.087219        False
 IT                 size       dcrandom ReLu2 0.000926  -0.031736   0.096728        False
 IT                 size       dcrandom ReLu7 0.000926  -0.007164   0.131815        False
 IT                 size      dctrained ReLu2 0.000926  -0.126447   1.464566        False
 IT                 size      dctrained ReLu7 0.000926  -0.005851   0.063635        False
 IT             thinness alexnettrained ReLu2 0.000926   0.053741   0.195300         True
 IT             thinness alexnettrained ReLu7 0.000926   0.004501   0.013385         True
 IT             thinness       dcrandom ReLu2 0.000926  -0.021190   0.233929        False
 IT             thinness       dcrandom ReLu7 0.000926   0.074703   0.340469         True
 IT             thinness      dctrained ReLu2 0.000926   0.112669   1.423392         True
 IT             thinness      dctrained ReLu7 0.000926   0.008813   0.021484         True
