,proportion,type,ROI,net,layer,sum,bootstrap_iter
0,0.2254600282372531,perceptual,IT,dcrandom,ReLu2,0.7448093148238286,0
1,0.05520584333353966,semantic,IT,dcrandom,ReLu2,0.18237302048173581,0
2,0.3040374257946942,perceptual,IT,dcrandom,ReLu2,1.1967381981729406,1
3,0.05972479982723371,semantic,IT,dcrandom,ReLu2,0.23508602319159136,1
4,0.18065699680391295,perceptual,IT,dcrandom,ReLu2,0.6217788220917071,2
5,0.06816907064277161,semantic,IT,dcrandom,ReLu2,0.23462188122918493,2
6,0.2321010363184617,perceptual,IT,dcrandom,ReLu2,0.7492304234615133,3
7,0.07413276467937008,semantic,IT,dcrandom,ReLu2,0.23930320843931194,3
8,0.22047953534699138,perceptual,IT,dcrandom,ReLu2,0.775900588859376,4
9,0.07542147624933428,semantic,IT,dcrandom,ReLu2,0.2654194991040943,4
10,0.36572704158444014,perceptual,IT,dcrandom,ReLu2,1.1829023198577635,5
11,0.077276741162819,semantic,IT,dcrandom,ReLu2,0.24994278792327507,5
12,0.22794199942851348,perceptual,IT,dcrandom,ReLu2,0.8272980726071459,6
13,0.06474120430211124,semantic,IT,dcrandom,ReLu2,0.23497325491434726,6
14,0.2984753060194342,perceptual,IT,dcrandom,ReLu2,1.1213205675142772,7
15,0.0608444387768904,semantic,IT,dcrandom,ReLu2,0.2285821280469619,7
16,0.20818198247993958,perceptual,IT,dcrandom,ReLu2,0.7460207023925758,8
17,0.05707143685903091,semantic,IT,dcrandom,ReLu2,0.20451564974519565,8
18,0.2567987852389294,perceptual,IT,dcrandom,ReLu2,0.9725646696765817,9
19,0.06762241246594515,semantic,IT,dcrandom,ReLu2,0.2561038954350378,9
20,0.20800158142867597,perceptual,IT,dcrandom,ReLu2,0.7838870615736335,10
21,0.054648336182234636,semantic,IT,dcrandom,ReLu2,0.20595095179345663,10
22,0.20552025429831539,perceptual,IT,dcrandom,ReLu2,0.5800323946575846,11
23,0.07587887548950902,semantic,IT,dcrandom,ReLu2,0.21415021115252375,11
24,0.1882722955996464,perceptual,IT,dcrandom,ReLu2,0.5903270943981203,12
25,0.048457192586229915,semantic,IT,dcrandom,ReLu2,0.15193735016089624,12
26,0.34353414693715284,perceptual,IT,dcrandom,ReLu2,1.3408056975465374,13
27,0.05682443774900533,semantic,IT,dcrandom,ReLu2,0.22178444435010825,13
28,0.2914785540138693,perceptual,IT,dcrandom,ReLu2,1.0890598363784842,14
29,0.06557232853372698,semantic,IT,dcrandom,ReLu2,0.24499980667702548,14
30,0.22394316190747948,perceptual,IT,dcrandom,ReLu2,0.9805917244628244,15
31,0.06342660918162454,semantic,IT,dcrandom,ReLu2,0.27772943609653283,15
32,0.24336273922224477,perceptual,IT,dcrandom,ReLu2,0.7597297287231773,16
33,0.05812744958822516,semantic,IT,dcrandom,ReLu2,0.1814622552662157,16
34,0.19602758639940945,perceptual,IT,dcrandom,ReLu2,0.6914960216353416,17
35,0.05863460066025554,semantic,IT,dcrandom,ReLu2,0.2068361592951074,17
36,0.1989351494715441,perceptual,IT,dcrandom,ReLu2,0.6739982772309596,18
37,0.05470500505358665,semantic,IT,dcrandom,ReLu2,0.18534220453234898,18
38,0.2770497153710265,perceptual,IT,dcrandom,ReLu2,0.962269157552953,19
39,0.06765927077141473,semantic,IT,dcrandom,ReLu2,0.23499908454576646,19
40,0.13639831199724586,perceptual,IT,dcrandom,ReLu2,0.38278954995712455,20
41,0.05667123783717423,semantic,IT,dcrandom,ReLu2,0.15904271328257433,20
42,0.29425713707254414,perceptual,IT,dcrandom,ReLu2,0.8216360374729941,21
43,0.06487019733107134,semantic,IT,dcrandom,ReLu2,0.1811330471554629,21
44,0.32398781412745375,perceptual,IT,dcrandom,ReLu2,1.007165288765772,22
45,0.05919610757967203,semantic,IT,dcrandom,ReLu2,0.1840200840419141,22
46,0.2692314036022289,perceptual,IT,dcrandom,ReLu2,1.0924599835538638,23
47,0.05643534839369223,semantic,IT,dcrandom,ReLu2,0.228997653888542,23
48,0.30176232988216156,perceptual,IT,dcrandom,ReLu2,0.9440277978888124,24
49,0.06776705403471828,semantic,IT,dcrandom,ReLu2,0.21200122233543578,24
50,0.2522176285169611,perceptual,IT,dcrandom,ReLu2,0.9020897594383991,25
51,0.07157766331364675,semantic,IT,dcrandom,ReLu2,0.25600699467138216,25
52,0.26419016588088634,perceptual,IT,dcrandom,ReLu2,0.9044895849837946,26
53,0.07587522429580411,semantic,IT,dcrandom,ReLu2,0.2597687537120749,26
54,0.26054852849671806,perceptual,IT,dcrandom,ReLu2,0.9298843625728621,27
55,0.058848741685491465,semantic,IT,dcrandom,ReLu2,0.21002814702566072,27
56,0.14031989616058335,perceptual,IT,dcrandom,ReLu2,0.37968525238990164,28
57,0.06202572611759882,semantic,IT,dcrandom,ReLu2,0.1678326033585166,28
58,0.26855725418617854,perceptual,IT,dcrandom,ReLu2,0.9023820198319452,29
59,0.0542469360384896,semantic,IT,dcrandom,ReLu2,0.18227569335427735,29
60,0.189278835719017,perceptual,IT,dcrandom,ReLu2,0.597933303186762,30
61,0.05352231341422972,semantic,IT,dcrandom,ReLu2,0.16907740124456067,30
62,0.24634600349807587,perceptual,IT,dcrandom,ReLu2,0.8621646249193663,31
63,0.060683455513139764,semantic,IT,dcrandom,ReLu2,0.21238066750981752,31
64,0.2155375386710622,perceptual,IT,dcrandom,ReLu2,0.6479164350080291,32
65,0.06814638227787911,semantic,IT,dcrandom,ReLu2,0.20485137455133107,32
66,0.3373377535312782,perceptual,IT,dcrandom,ReLu2,1.0294244217000756,33
67,0.06383262643154904,semantic,IT,dcrandom,ReLu2,0.1947925005785087,33
68,0.2615673451389965,perceptual,IT,dcrandom,ReLu2,1.1820634579389877,34
69,0.050832990498687836,semantic,IT,dcrandom,ReLu2,0.2297221791746522,34
70,0.1625040517749583,perceptual,IT,dcrandom,ReLu2,0.5169003514044663,35
71,0.0688104715152465,semantic,IT,dcrandom,ReLu2,0.21887550813683124,35
72,0.17435792933996017,perceptual,IT,dcrandom,ReLu2,0.5165806351112033,36
73,0.05777368173454703,semantic,IT,dcrandom,ReLu2,0.1711695322152743,36
74,0.30856728748246287,perceptual,IT,dcrandom,ReLu2,1.0494584950658805,37
