roi,network,layer,metric,comparison,t_stat,p_val,cohens_d,n
IT,dcrandom,ReLu7,R2,perceptual vs semantic,-162.1836005280625,0.0,-5.128695767955645,1000
IT,dctrained,ReLu2,AIC,total vs perceptual,133.72309114727193,0.0,4.228695437836782,1000
IT,dctrained,ReLu2,AIC,total vs semantic,214.27264088491606,0.0,6.775895854556521,1000
IT,dctrained,ReLu2,AIC,perceptual vs semantic,79.00040593640009,0.0,2.4982121883691137,1000
IT,dctrained,ReLu2,R2,total vs perceptual,-145.44734152390257,0.0,-4.59944878831918,1000
IT,dctrained,ReLu2,R2,total vs semantic,-238.56899720894282,0.0,-7.5442141028261265,1000
IT,dctrained,ReLu2,R2,perceptual vs semantic,-77.63219242873441,0.0,-2.4549454782727937,1000
IT,dctrained,ReLu7,AIC,total vs perceptual,122.31704252092362,0.0,3.868004510217822,1000
IT,dctrained,ReLu7,AIC,total vs semantic,191.27292500576362,0.0,6.048580977407879,1000
IT,dctrained,ReLu7,AIC,perceptual vs semantic,73.76643997866019,0.0,2.332699652146688,1000
IT,dctrained,ReLu7,R2,total vs perceptual,-132.15213522988338,0.0,-4.179017449810109,1000
IT,dctrained,ReLu7,R2,total vs semantic,-224.43429422406174,0.0,-7.097235548004076,1000
IT,dctrained,ReLu7,R2,perceptual vs semantic,-73.22277246044705,0.0,-2.315507375672643,1000
