net,layer,instance,metric,comparison,t_stat,p_val,cohens_d,perceptual_mean,perceptual_std,semantic_mean,semantic_std,n
alexnettrained,ReLu2,1,r2,perceptual vs semantic,746.1592101406349,0.0,23.59562601156613,0.3550603063717381,0.012219582859905433,0.036015092656458705,0.00581768031290035,1000
alexnettrained,ReLu2,1,aic,perceptual vs semantic,-499.0851030970618,0.0,-15.782456720466707,-2755.877850619381,80.77586085803964,-1083.154137038298,76.01636013400059,1000
alexnettrained,ReLu7,1,r2,perceptual vs semantic,98.85465969760446,0.0,3.1260588196528216,0.1913008024210542,0.011671138314116609,0.14048230537680634,0.011477760092752138,1000
alexnettrained,ReLu7,1,aic,perceptual vs semantic,-33.975840870275135,8.48176358619727e-169,-1.074410425695068,-6037.7132705935965,151.10863212727284,-5797.247307314944,151.07761051597996,1000
dcrandom,ReLu2,1,r2,perceptual vs semantic,619.7208518339019,0.0,19.59729405294865,0.3210854016904282,0.01590422536982017,0.005115431832790089,0.0021170131785827077,1000
dcrandom,ReLu2,1,aic,perceptual vs semantic,-242.3563403976901,0.0,-7.663980410397788,-30270.726957207673,141.48414194018065,-28677.03998297113,152.97881878211018,1000
dcrandom,ReLu2,2,r2,perceptual vs semantic,718.4372728206868,0.0,22.718981380731517,0.36623072529006145,0.015612964504733496,0.006637068030039689,0.0023462930490021515,1000
dcrandom,ReLu2,2,aic,perceptual vs semantic,-282.74387863094177,0.0,-8.941146509439868,-32096.817250782864,143.31893817992233,-30221.290253742583,152.63104376110343,1000
dcrandom,ReLu2,3,r2,perceptual vs semantic,649.0650820099188,0.0,20.525240088353225,0.35009919038196596,0.016637546142107905,0.005601489928236221,0.0021216252084278312,1000
dcrandom,ReLu2,3,aic,perceptual vs semantic,-281.25639686249855,0.0,-8.894108205777318,-31423.971641332853,131.1586739710635,-29645.40011944243,151.2789112242797,1000
dcrandom,ReLu2,4,r2,perceptual vs semantic,721.931381294685,0.0,22.829474792426808,0.35791504299168986,0.015195105262759762,0.005932005015588876,0.0022456528094349135,1000
dcrandom,ReLu2,4,aic,perceptual vs semantic,-274.6770166395491,0.0,-8.686049934809441,-30288.7975744237,142.80328804996617,-28468.172131350955,152.01250869023772,1000
dcrandom,ReLu2,5,r2,perceptual vs semantic,780.1009009519967,0.0,24.668956517577254,0.39999055185035853,0.01605069597879874,0.003058410360232853,0.001562101195303494,1000
dcrandom,ReLu2,5,aic,perceptual vs semantic,-326.0279429870552,0.0,-10.309908806986156,-30889.346856377975,134.8872915105859,-28762.986417873122,152.69580882342203,1000
dcrandom,ReLu2,6,r2,perceptual vs semantic,669.322801761044,0.0,21.16584543450258,0.3610555855861838,0.01664587226159087,0.004554360472449931,0.0020186494506073353,1000
dcrandom,ReLu2,6,aic,perceptual vs semantic,-242.36808592816848,0.0,-7.6643518366841725,-28416.119526473965,156.53059358242214,-26566.90865094923,186.02449127802134,1000
dcrandom,ReLu2,7,r2,perceptual vs semantic,662.092696030878,0.0,20.937209416191003,0.31202005398744664,0.014509487473305932,0.004720487354823442,0.0020516965605228274,1000
dcrandom,ReLu2,7,aic,perceptual vs semantic,-239.169806257769,0.0,-7.563213353157418,-28501.28208915861,142.76989577150303,-26961.084105070153,142.74362756876891,1000
dcrandom,ReLu2,8,r2,perceptual vs semantic,703.8168030170348,0.0,22.256641530318973,0.3665085011523164,0.016080347779839625,0.005784274654639327,0.0022206642538783097,1000
dcrandom,ReLu2,8,aic,perceptual vs semantic,-274.7148253897745,0.0,-8.687245552471408,-31141.621125391768,137.5156691790473,-29262.363427396038,170.86799974857826,1000
dcrandom,ReLu2,9,r2,perceptual vs semantic,749.2750170345023,0.0,23.694156476904883,0.3713741456480738,0.015288091655412337,0.005556692238759676,0.0022079303097889994,1000
dcrandom,ReLu2,9,aic,perceptual vs semantic,-299.5000380797714,0.0,-9.471022796392397,-32066.95199839653,133.74017239022567,-30163.277391526528,149.57626225782542,1000
dcrandom,ReLu2,10,r2,perceptual vs semantic,639.0557279837716,0.0,20.208716522057227,0.3391061996612374,0.016094317369901186,0.007890925145540918,0.002639111414757857,1000
dcrandom,ReLu2,10,aic,perceptual vs semantic,-224.46747931688247,0.0,-7.09828495278085,-27452.857852090612,174.96912533503433,-25757.51179088185,160.2258980124426,1000
dcrandom,ReLu7,1,r2,perceptual vs semantic,627.9443547597268,0.0,19.857344048855314,0.2635222176078101,0.01325658627200093,0.0007929812779957433,0.0007386302899543767,1000
dcrandom,ReLu7,1,aic,perceptual vs semantic,-228.72306739823046,0.0,-7.232858463986111,-15775.72027188035,131.65429749496963,-14496.685782100705,121.5562081719273,1000
dcrandom,ReLu7,2,r2,perceptual vs semantic,626.4919297502107,0.0,19.81141433724871,0.2412818023980198,0.012131918035764156,0.0008839491569529175,0.0008529495471283726,1000
dcrandom,ReLu7,2,aic,perceptual vs semantic,-197.23474911165874,0.0,-6.2371104092471334,-14561.30319515886,130.64556187187478,-13414.741204363874,124.21183993604448,1000
dcrandom,ReLu7,3,r2,perceptual vs semantic,698.4527724926162,0.0,22.08701599136068,0.2764147562577516,0.01247969625435504,0.0008927152482674989,0.0008043415387554848,1000
dcrandom,ReLu7,3,aic,perceptual vs semantic,-250.88622675640295,0.0,-7.933719101157119,-15497.954290819069,116.0002860404061,-14161.305291392186,118.7791046737898,1000
dcrandom,ReLu7,4,r2,perceptual vs semantic,667.9548554631205,0.0,21.12258717432024,0.24385967620460117,0.011451565014719917,0.0012838057508282306,0.0010455784223438863,1000
dcrandom,ReLu7,4,aic,perceptual vs semantic,-222.4204449243183,0.0,-7.033552041488832,-15413.117653275403,115.76099567427212,-14261.700814837532,115.92800470325179,1000
dcrandom,ReLu7,5,r2,perceptual vs semantic,637.9447593105913,0.0,20.173584607893755,0.24518676204333764,0.012065650043761691,0.0010159184352573822,0.00091352441917486,1000
dcrandom,ReLu7,5,aic,perceptual vs semantic,-230.2104398172018,0.0,-7.279893309714744,-15517.296261817168,116.16765186076167,-14349.270024877145,110.14196551647629,1000
dcrandom,ReLu7,6,r2,perceptual vs semantic,666.8413778422173,0.0,21.08737592026347,0.26014057123774037,0.012300075632042308,0.0008233002104353224,0.0007730193790344808,1000
dcrandom,ReLu7,6,aic,perceptual vs semantic,-245.15433035387142,0.0,-7.7524606217158665,-15236.98858806099,115.4856971314086,-13987.914781323132,116.83439414618796,1000
dcrandom,ReLu7,7,r2,perceptual vs semantic,624.9745546997741,0.0,19.763430725007755,0.24367953968079978,0.01219320170340958,0.0011072154464750886,0.0009682588883307208,1000
dcrandom,ReLu7,7,aic,perceptual vs semantic,-238.5514801783088,0.0,-7.543660165679661,-15422.871766800068,111.27113095001675,-14264.060078504739,109.67810446057943,1000
dcrandom,ReLu7,8,r2,perceptual vs semantic,677.5951927662296,0.0,21.427441407221362,0.26615115697978003,0.012360742115468695,0.0008643128089466851,0.0007967041936988496,1000
dcrandom,ReLu7,8,aic,perceptual vs semantic,-268.99753199955904,0.0,-8.506448860826348,-15622.757234037574,108.5159844489455,-14335.389779459521,107.09409047184855,1000
dcrandom,ReLu7,9,r2,perceptual vs semantic,666.9033866770942,0.0,21.089336811796105,0.25266352178495954,0.01193106169397488,0.0006544719250184751,0.0006338013638197806,1000
dcrandom,ReLu7,9,aic,perceptual vs semantic,-217.149035509089,0.0,-6.866855439175027,-14935.498593209099,126.94782435746383,-13729.91500867525,122.74066962026073,1000
dcrandom,ReLu7,10,r2,perceptual vs semantic,667.9752941836091,0.0,21.123233503412273,0.2549147685368838,0.012005302936402265,0.001058659639267969,0.00096597258846973,1000
dcrandom,ReLu7,10,aic,perceptual vs semantic,-236.2888296442844,0.0,-7.472108873314531,-15742.29984868006,118.44254128054766,-14535.555088843677,106.17488385736611,1000
dctrained,ReLu2,1,r2,perceptual vs semantic,616.3822303378593,0.0,19.491717571221727,0.250985978834081,0.012521747244462074,0.0036625465633669772,0.001864266246086053,1000
dctrained,ReLu2,1,aic,perceptual vs semantic,-274.30336383037496,0.0,-8.674233995498348,-4780.878734298596,99.48970813727101,-3595.250279223845,93.28902193919826,1000
dctrained,ReLu2,2,r2,perceptual vs semantic,620.3798288155423,0.0,19.61813273482473,0.24449348497427706,0.01204920389123197,0.0047198026521613375,0.0020670532565019014,1000
dctrained,ReLu2,2,aic,perceptual vs semantic,-266.31849635136956,0.0,-8.421730315015699,-3320.787270480083,96.95872797727515,-2184.6779333518543,91.04292926927543,1000
dctrained,ReLu2,3,r2,perceptual vs semantic,632.8186887192845,0.0,20.011484022740408,0.2371671612094628,0.011393829882654536,0.004581848770068184,0.0021216434815664173,1000
dctrained,ReLu2,3,aic,perceptual vs semantic,-264.58108312359707,0.0,-8.366788484649037,-4214.6603974496575,96.43668728104886,-3107.815915771776,95.86830587695526,1000
dctrained,ReLu2,4,r2,perceptual vs semantic,654.1708483505181,0.0,20.68669859672241,0.26002598300248086,0.01219960258809568,0.004547009310501072,0.0020590063471416535,1000
dctrained,ReLu2,4,aic,perceptual vs semantic,-282.4670208008409,0.0,-8.93239149612816,-4712.313484974719,98.85572556000285,-3484.020196751209,92.78990636580829,1000
dctrained,ReLu2,5,r2,perceptual vs semantic,657.4679765345936,0.0,20.79096294471455,0.2612868932535413,0.012190804740521453,0.00432133901340193,0.0019930130965699682,1000
dctrained,ReLu2,5,aic,perceptual vs semantic,-288.82078803683675,0.0,-9.133315258011155,-4230.804134702742,98.11780269289473,-2998.6883686025863,97.86448693727372,1000
dctrained,ReLu2,6,r2,perceptual vs semantic,687.7159253623622,0.0,21.747487073154243,0.27130023768746736,0.012069497798025944,0.004280739050458855,0.0020180239252395636,1000
